,Ethyl acetate Methyl salicylate ,
Raman shift [1/cm],Intensity,
1326.097,0.027195,
1324.705,0.024312,
1323.313,0.02254,
1321.920,0.020946,
1320.528,0.018298,
1319.136,0.018451,
1317.743,0.021599,
1316.351,0.022796,
1314.959,0.018494,
1313.566,0.015179,
1312.174,0.019246,
1310.782,0.019277,
1309.389,0.017723,
1307.997,0.019086,
1306.605,0.027221,
1305.212,0.018207,
1303.820,0.020154,
1302.428,0.025617,
1301.036,0.028075,
1299.643,0.023706,
1298.251,0.018895,
1296.859,0.020069,
1295.466,0.019505,
1294.074,0.018051,
1292.682,0.017814,
1291.289,0.020621,
1289.897,0.019534,
1288.505,0.01723,
1287.112,0.018365,
1285.720,0.021572,
1284.328,0.019667,
1282.935,0.018489,
1281.543,0.022146,
1280.151,0.024091,
1278.758,0.023346,
1277.366,0.022335,
1275.974,0.025889,
1274.581,0.025395,
1273.189,0.025912,
1271.797,0.028062,
1270.404,0.029998,
1269.012,0.02488,
1267.620,0.023456,
1266.227,0.025301,
1264.835,0.025501,
1263.443,0.020835,
1262.050,0.019431,
1260.658,0.026147,
1259.266,0.028317,
1257.873,0.027704,
1256.481,0.028097,
1255.089,0.031844,
1253.696,0.032639,
1252.304,0.033377,
1250.912,0.034088,
1249.519,0.033304,
1248.127,0.025446,
